"k","mean_5fold_CV_RMSE"
3,70.0015537029657
5,70.6857547952154
7,72.5315807178088
9,73.6098352051107
11,75.0617099838576
13,76.3372667183105
15,77.6757808978001
17,78.4782767206127
19,79.4683341936218
21,80.3023412257635
23,80.9641681514682
25,81.5132030583607
