Food_Name,PC1,PC2,cluster
"Chocolate milk, reduced fat (2%)",-1.1927585581996483,0.19533767094114401,6
"Chocolate milk, fat free (skim)",-1.1886832681442017,0.2052939561465083,6
"Chocolate milk, low fat (1%)",-1.1730305775211933,0.0493217256993686,6
"Chocolate milk, reduced sugar, NFS",-1.3107491115077816,0.1640340805720924,6
"Hot chocolate / cocoa, NFS",-1.5960181467057122,-0.060753897467599294,6
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",-1.2883766759956463,0.22578770338582715,6
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",-1.3035809606599718,0.18619478984121576,6
"Hot chocolate / cocoa, made with non-dairy milk",-1.2437425619311615,0.18257172294587584,6
"Hot chocolate / cocoa, with whipped cream",-1.281919442156317,0.2509763829685141,6
"Chocolate milk, Nesquik, NS as to type of milk",-1.1405075763191288,0.29284931820136995,6
"Chocolate milk, Nesquik, made with non-dairy milk",-1.0507716378316942,0.3179538991509567,6
"Chocolate milk, reduced sugar, whole",-1.369548875851754,0.0780612437810277,6
"Chocolate milk, reduced sugar, reduced fat (2%)",-1.2554605261483622,0.2432759814550884,6
"Chocolate milk, reduced sugar, low fat (1%)",-1.2888583349147567,0.16625018379130768,6
"Chocolate milk, reduced sugar, fat free (skim)",-1.272063685916922,0.1994292263546443,6
"Hot chocolate / cocoa, dry mix, made with water",-1.8944535609582716,-0.35880989730369495,6
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",-0.9390544858077937,0.36529600054861194,6
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",-0.9541330024975181,0.32430303183974385,6
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",-0.8998184981121896,0.3169321554521611,6
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",-1.8589983461243442,-0.307353997502581,6
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",-1.5641561477738877,-0.17190161671775764,6
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",-0.549884523487544,0.5833302764734695,6
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",-1.2380701917709616,0.18876994608494596,6
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",-1.2823755265169008,0.2311855564793984,6
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",-0.56694278482683,0.5334946228095001,6
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",-1.2979380664610447,0.18986219767886886,6
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",-0.5086176011360328,0.5322432670360369,6
"Strawberry milk, NFS",-1.31736625866635,0.12807605150802095,6
"Strawberry milk, whole",-1.418845534796193,0.002895976895956426,6
"Strawberry milk, reduced fat (2%)",-1.2926383819872842,0.1848607100261742,6
"Strawberry milk, low fat (1%)",-1.3367840934645765,0.09360590716005315,6
"Strawberry milk, fat free  (skim)",-1.3201081958852408,0.12885138349674535,6
"Strawberry milk, reduced sugar",-1.3039762925613807,0.14163712201889087,6
"Milk, malted",-0.7073645725084448,0.5814664437245431,6
Eggnog,-1.083920307751139,0.3359407612549222,6
"Milk shake, home recipe, chocolate",-1.1072804603608197,0.20603468877764392,6
"Milk shake, home recipe, flavors other than chocolate",-1.2352599536494555,0.14675813732196774,6
"Milk shake, home recipe, chocolate, light",-1.23412472911978,0.20051019506443607,6
"Milk shake, home recipe, flavors other than chocolate, light",-1.1555421563717012,0.22932251964511363,6
Milk shake with malt,-1.0841978048908567,0.16330013477621444,6
"Milk shake, fast food, chocolate",-0.5401815554850992,0.22070451207842684,6
"Milk shake, fast food, flavors other than chocolate",-0.7424674441558553,0.032283445216083846,6
"Milk shake, bottled, chocolate",-0.5401815554850992,0.22070451207842684,6
"Milk shake, bottled, flavors other than chocolate",-0.7424674441558553,0.032283445216083846,6
Licuado or Batido,-1.4140829884426305,-0.016762004172569463,6
"Fruit smoothie, NFS",-1.4001595214661897,-0.15391314463394137,6
"Fruit smoothie, with whole fruit and dairy",-1.4001595214661897,-0.15391314463394137,6
"Fruit smoothie, with whole fruit and dairy, added protein",-0.9033199850122916,0.0392580380444424,6
"Fruit smoothie juice drink, with dairy",-1.8482723859279504,-0.46372499934754174,6
Chocolate milk drink,-1.6260331402738633,0.04827646669694165,6
"Infant formula, NFS",-1.203929944903462,-0.07948335204790759,6
"Infant formula, Similac, NFS",-1.2252781824889858,-0.10787234888258558,6
"Infant formula, Similac Alimentum, ready-to-feed",-1.0806667804866277,0.025223470169332213,6
"Infant formula, Similac Alimentum, powder, made with water",-1.0806667804866277,0.025223470169332213,6
"Infant formula, Similac Advance, ready-to-feed",-1.2309888754959424,-0.11308307029932754,6
"Infant formula, Similac Advance, powder, made with tap water",-1.216269268809337,-0.0991051676670572,6
"Infant formula, Similac Advance, powder, made with bottled water",-1.20472888497354,-0.09213274543022594,6
"Infant formula, Similac Advance, powder, made with baby water",-1.2309888754959424,-0.11308307029932754,6
"Infant formula, Similac Sensitive, ready-to-feed",-1.1845286836807936,-0.05285193636771081,6
"Infant formula, Similac Sensitive, powder, made with tap water",-1.1708968424518995,-0.0399755433537779,6
"Infant formula, Similac Sensitive, powder, made with bottled water",-1.1600971014329742,-0.03374473046463184,6
"Infant formula, Similac Sensitive, powder, made with baby water",-1.1845286836807936,-0.05285193636771081,6
"Infant formula, Similac for Spit-Up, ready-to-feed",-1.2005393485306164,-0.07932572486027542,6
"Infant formula, Similac for Spit-Up, powder, made with water",-1.2005393485306164,-0.07932572486027542,6
"Toddler formula, Similac Go and Grow",-1.0727038982325499,0.027856919725738,6
"Infant formula, Enfamil, NFS",-1.1741985411285407,-0.06565976701083324,6
"Infant formula, Enfamil Infant, ready-to-feed",-1.176368259889273,-0.05155901385321806,6
