Food_Name,PC1,PC2,cluster
"Chocolate milk, fat free (skim)",-2.8049571961627895,0.058547519462147146,1
"Chocolate milk, low fat (1%)",-2.598966969875846,-0.16612191396806805,1
"Chocolate milk, reduced sugar, NFS",-2.4924583074413675,-0.5262922148395189,1
"Hot chocolate / cocoa, NFS",-2.8619934243338405,-0.39475376186740385,1
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",-2.4120594532556545,-0.4003573264400118,1
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",-2.799596365715129,-0.019347048966247938,1
"Hot chocolate / cocoa, made with non-dairy milk",-2.7752677089810485,0.008028356054211563,1
"Hot chocolate / cocoa, with whipped cream",-2.088674400250559,-0.7300049884889956,1
"Chocolate milk, Nesquik, NS as to type of milk",-2.261928551603599,-0.4655249763941585,1
"Chocolate milk, Nesquik, made with non-dairy milk",-2.7199796571750396,0.08281863164672426,1
"Chocolate milk, reduced sugar, whole",-2.2927420295687098,-0.7982453145064838,1
"Chocolate milk, reduced sugar, reduced fat (2%)",-2.5133283480384634,-0.4439386373030843,1
"Chocolate milk, reduced sugar, low fat (1%)",-2.7460748169901796,-0.23611622840756588,1
"Chocolate milk, reduced sugar, fat free (skim)",-2.9311448123869925,-0.03428534860092746,1
"Hot chocolate / cocoa, dry mix, made with water",-3.299772636177392,-0.3776799076061445,1
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",-1.9747264762091419,-0.2813511140371859,1
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",-2.3893346745573365,0.12694736768966522,1
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",-2.3680166975318078,0.14766166978881537,1
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",-2.9378754827824682,-0.7037508674041247,1
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",-3.215571668045072,-0.15662505318914158,1
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",-1.8115143727674128,-0.05353063828197604,1
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",-2.8835695837193764,-0.014406420642219201,1
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",-2.5205019173161,-0.422400491484678,1
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",-2.2524869657724618,0.38144556526076623,1
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",-2.908517332285788,-0.041166793304947644,1
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",-2.2306622163970005,0.40288927277197045,1
"Strawberry milk, NFS",-2.4665584151549442,-0.5757387262380431,1
"Strawberry milk, whole",-2.2316344180265606,-0.8496030385844587,1
"Strawberry milk, reduced fat (2%)",-2.483763607235402,-0.4827430093101804,1
"Strawberry milk, low fat (1%)",-2.716124002173153,-0.2560781834187425,1
"Strawberry milk, fat free  (skim)",-2.9125447364846937,-0.042296357162490465,1
"Strawberry milk, reduced sugar",-2.48121174613941,-0.5866546450377466,1
"Milk, malted",-2.0983867592627568,-0.1813786746826994,1
Eggnog,-1.537979680730526,-1.1472740344210728,1
"Milk shake, home recipe, chocolate",-1.0405180818821704,-1.5653592502633253,1
"Milk shake, home recipe, flavors other than chocolate",-1.222834969866826,-1.6605332005936646,1
"Milk shake, home recipe, chocolate, light",-1.9202464438861697,-0.8250561850509003,1
"Milk shake, home recipe, flavors other than chocolate, light",-2.124246401494433,-0.572532796249483,1
Milk shake with malt,-1.0450635921887106,-1.558653403319812,1
"Milk shake, fast food, chocolate",-0.29042748156417075,-1.2833897506917904,1
"Milk shake, fast food, flavors other than chocolate",-0.523050033313182,-1.4403798425101912,1
"Milk shake, bottled, chocolate",-0.29042748156417075,-1.2833897506917904,1
